code,term
1193634005,Born in Cabo Verde
138452009,Born in Albania
138453004,Born in Andorra
138454005,Born in Austria
138455006,Born in Azerbaijan
138456007,Born in Belgium
138457003,Born in Belorussia
138458008,Born in Bosnia - Herzegovnia
138459000,Born in Bulgaria
138460005,Born in Croatia
138461009,Born in Cyprus
138462002,Born in Czech Republic
138463007,Born in Denmark
138465000,Born in Estonia
138466004,Born in Finland
138467008,Born in France
138468003,Born in Germany
138469006,Born in Greece
138471006,Born in Hungary
138472004,Born in Iceland
138473009,Born in Ireland
138474003,Born in Italy
138475002,Born in Kosovo
138476001,Born in Latvia
138477005,Born in Liechtenstein
138478000,Born in Lithuania
138479008,Born in Luxembourg
138480006,Born in Malta
138481005,Born in Moldavia
138482003,Born in Monaco
138484002,Born in Norway
138485001,Born in Poland
138486000,Born in Portugal
138487009,Born in Republic of Ireland
138488004,Born in Romania
138489007,Born in San Marino
138491004,Born in Slovakia
138492006,Born in Slovenia
138493001,Born in Spain
138494007,Born in Sweden
138495008,Born in Switzerland
138496009,Born in The Netherlands
138497000,Born in Ukraine
138498005,Born in Vatican City
138500006,Born in Yugoslavia
138502003,Born in Afghanistan
138503008,Born in Armenia
138504002,Born in Bahrain
138505001,Born in Bangladesh
138506000,Born in Bhutan
138507009,Born in Brunei
138508004,Born in Burma
138509007,Born in Chechnya
138510002,Born in China
138511003,Born in Democratic People's Republic of Korea
138512005,Born in East Timor
138513000,Born in Georgia
138514006,Born in Hong Kong
138515007,Born in India
138516008,Born in Indonesia
138517004,Born in Iran
138518009,Born in Iraq
138519001,Born in Israel
138520007,Born in Japan
138521006,Born in Jordan
138522004,Born in Kazakhstan
138523009,Born in Kuwait
138524003,Born in Kyrgyzstan
138525002,Born in Laos
138526001,Born in Lebanon
138527005,Born in Malaysia
138528000,Born in Maldives
138529008,Born in Mali
138530003,Born in Mongolia
138531004,Born in Nepal
138532006,Born in North Korea
138533001,Born in Oman
138534007,Born in Pakistan
138535008,Born in Palestine
138536009,Born in Philippines
138537000,Born in Qatar
138538005,Born in Republic of Korea
138539002,Born in Russia
138540000,Born in Saudi Arabia
138541001,Born in Singapore
138542008,Born in South Korea
138543003,Born in Sri Lanka
138544009,Born in Syria
138545005,Born in Taiwan
138546006,Born in Tajikistan
138547002,Born in Thailand
138548007,Born in Turkey
138549004,Born in Turkmenistan
138550004,Born in United Arab Emirates
138551000,Born in Uzbekistan
138552007,Born in Vietnam
138553002,Born in Yemen
138555009,Born in Argentina
138556005,Born in Belize
138557001,Born in Bolivia
138558006,Born in Brazil
138559003,Born in British Guyana
138560008,Born in Canada
138561007,Born in Chile
138562000,Born in Columbia
138563005,Born in Costa Rica
138564004,Born in Ecuador
138565003,Born in El Salvador
138566002,Born in Grenada
138567006,Born in Guatemala
138568001,Born in Guyana
138569009,Born in Honduras
138570005,Born in Mexico
138572002,Born in Nicaragua
138573007,Born in Panama
138574001,Born in Paraguay
138575000,Born in Peru
138576004,Born in Suriname
138577008,Born in USA
138578003,Born in Uruguay
138579006,Born in Venezuela
138581008,Born in Algeria
138582001,Born in Angola
138583006,Born in Benin
138584000,Born in Botswana
138585004,Born in Burkina Faso
138586003,Born in Burundi
138587007,Born in Cambodia
138588002,Born in Cameroon
138589005,Born in Cape Verde Islands
138590001,Born in Central African Republic
138591002,Born in Chad
138592009,Born in Comoros Islands
138593004,Born in Congo
138594005,Born in Djibouti
138595006,Born in Egypt
138596007,Born in Equatorial Guinea
138597003,Born in Ethiopia
138598008,Born in Gabon
138599000,Born in Gambia
138600002,Born in Ghana
138601003,Born in Guinea Bissau
138602005,Born in Guinea Republic
138603000,Born in Ivory Coast
138604006,Born in Kenya
138605007,Born in Lesotho
138606008,Born in Liberia
138607004,Born in Libya
138608009,Born in Madagascar
138609001,Born in Malawi
138610006,Born in Mauritania
138611005,Born in Mauritius
138612003,Born in Morocco
138613008,Born in Mozambique
138614002,Born in Namibia
138615001,Born in Niger
138616000,Born in Nigeria
138617009,Born in Rwanda
138618004,Born in Sao Tome and Principe
138619007,Born in Senegal
138620001,Born in Sierra Leone
138621002,Born in Somalia
138622009,Born in South Africa
138623004,Born in Sudan
138624005,Born in Swaziland
138625006,Born in Tanzania
138626007,Born in The Gambia
138627003,Born in Tunisia
138628008,Born in Uganda
138629000,Born in Zaire
138630005,Born in Zambia
138631009,Born in Zimbabwe
138633007,Born in Australia
138634001,Born in New Zealand
138636004,Born in Antigua and Barbuda
138637008,Born in Bahamas
138638003,Born in Barbados
138639006,Born in Cuba
138640008,Born in Dominican Republic
138641007,Born in Haiti
138642000,Born in Jamaica
138643005,Born in Puerto Rico
138644004,Born in St. Kitts and Nevis
138645003,Born in St. Lucia
138646002,Born in St. Vincent
138647006,Born in Togo
138648001,Born in Trinidad and Tobago
138650009,Born in Fiji
138651008,Born in Kiribati
138652001,Born in Nauru
138653006,Born in Papua New Guinea
138654000,Born in Seychelles
138655004,Born in Solomon Islands
138656003,Born in Tonga
138657007,Born in Tuvala
138658002,Born in Vanuatu
138659005,Born in Western Samoa
161181001,Born in Albania
161182008,Born in Andorra
161183003,Born in Austria
161184009,Born in Azerbaijan
161185005,Born in Belgium
161186006,Born in Belorussia
161187002,Born in Bosnia - Herzegovnia
161188007,Born in Bulgaria
161189004,Born in Croatia
161190008,Born in Cyprus
161191007,Born in Czech Republic
161192000,Born in Denmark
161194004,Born in Estonia
161195003,Born in Finland
161196002,Born in France
161197006,Born in Germany
161198001,Born in Greece
161199009,Born in Hungary
161200007,Born in Iceland
161201006,Born in Ireland
161202004,Born in Italy
161203009,Born in Kosovo
161204003,Born in Latvia
161205002,Born in Liechtenstein
161206001,Born in Lithuania
161207005,Born in Luxembourg
161208000,Born in Malta
161209008,Born in Moldavia
161210003,Born in Monaco
161212006,Born in Norway
161213001,Born in Poland
161214007,Born in Portugal
161215008,Born in Republic of Ireland
161216009,Born in Romania
